age,income,home_ownership_type,employment_length,loan_amount,loan_interest_rate,is_default,loan_to_income_ratio,has_defaulted_before,credit_history_length,debt_to_stability_ratio
21,9600,OWN,5.0,1000,11.14,0,0.1,0,2,0.0484
25,9600,MORTGAGE,1.0,5500,12.87,1,0.57,0,3,0.7514
23,65500,RENT,4.0,35000,15.23,1,0.53,0,2,0.332
24,54400,RENT,8.0,35000,14.27,1,0.55,1,4,0.2928
21,9900,OWN,2.0,2500,7.14,1,0.25,0,2,0.1915
26,77100,RENT,8.0,35000,12.42,1,0.45,0,3,0.2066
24,78956,RENT,5.0,35000,11.11,1,0.44,0,4,0.2474
24,83000,RENT,8.0,35000,8.9,1,0.42,0,2,0.1919
21,10000,OWN,6.0,1600,14.74,1,0.16,0,3,0.0685
22,85000,RENT,6.0,35000,10.37,1,0.41,0,4,0.2116
21,10000,OWN,2.0,4500,8.63,1,0.45,0,2,0.3413
23,95000,RENT,2.0,35000,7.9,1,0.37,0,2,0.3354
26,108160,RENT,4.0,35000,18.39,1,0.32,0,4,0.2011
23,115000,RENT,2.0,35000,7.9,0,0.3,0,4,0.277
23,500000,MORTGAGE,7.0,30000,10.65,0,0.06,0,3,0.0262
23,120000,RENT,0.0,35000,7.9,0,0.29,0,4,inf
23,92111,RENT,7.0,35000,20.25,1,0.32,0,4,0.1827
23,113000,RENT,8.0,35000,18.25,1,0.31,0,4,0.141
24,10800,MORTGAGE,8.0,1750,10.99,1,0.16,0,2,0.067
25,162500,RENT,2.0,35000,7.49,0,0.22,0,4,0.1961
25,137000,RENT,9.0,34800,16.77,0,0.25,1,2,0.1103
22,65000,RENT,4.0,34000,17.58,1,0.52,0,4,0.325
24,10980,OWN,0.0,1500,7.29,0,0.14,0,3,inf
22,80000,RENT,3.0,33950,14.54,1,0.42,1,4,0.3061
24,67746,RENT,8.0,33000,12.68,1,0.49,0,3,0.2217
21,11000,MORTGAGE,3.0,4575,17.74,1,0.42,1,3,0.2727
23,11000,OWN,0.0,1400,9.32,0,0.13,0,3,inf
24,65000,RENT,6.0,32500,9.99,1,0.5,0,3,0.2569
21,11389,OTHER,5.0,4000,12.84,1,0.35,1,2,0.2178
21,11520,OWN,5.0,2000,11.12,1,0.17,0,3,0.0807
25,120000,RENT,2.0,32000,6.62,0,0.27,0,2,0.2427
26,95000,RENT,7.0,31050,14.17,1,0.33,1,3,0.1572
25,306000,RENT,2.0,24250,13.85,0,0.08,0,3,0.0721
26,300000,MORTGAGE,10.0,7800,13.49,0,0.03,0,4,0.0099
21,12000,OWN,5.0,2500,7.51,1,0.21,0,4,0.0969
22,48000,RENT,1.0,30000,18.39,1,0.63,0,2,0.9017
24,64000,RENT,8.0,30000,14.54,1,0.47,1,3,0.2133
25,75000,RENT,4.0,30000,16.89,1,0.4,1,4,0.2485
23,71500,RENT,3.0,30000,,1,0.42,0,4,0.3027
26,62050,RENT,6.0,30000,17.99,1,0.41,0,2,0.2485
24,12000,OWN,4.0,2500,12.69,1,0.21,0,3,0.1079
26,300000,MORTGAGE,10.0,20000,7.88,0,0.07,0,4,0.0253
23,300000,OWN,1.0,24250,19.41,0,0.08,1,2,0.0972
26,300000,OWN,9.0,10000,10.38,0,0.03,0,4,0.0121
26,300000,MORTGAGE,0.0,25000,15.33,0,0.08,0,3,inf
25,300000,MORTGAGE,9.0,18000,16.45,0,0.06,0,3,0.0237
26,80690,RENT,8.0,30000,7.49,1,0.37,0,3,0.1692
22,66300,RENT,4.0,30000,12.69,1,0.38,0,3,0.2811
26,89028,RENT,0.0,30000,6.62,1,0.34,0,3,inf
24,78000,RENT,4.0,30000,,1,0.38,1,4,0.239
23,78000,RENT,7.0,30000,18.62,1,0.38,1,3,0.185
23,92004,RENT,6.0,30000,15.23,1,0.33,1,3,0.1676
23,97000,RENT,7.0,30000,10.65,1,0.31,0,2,0.1487
25,120000,RENT,9.0,30000,7.9,0,0.25,0,4,0.1086
26,280000,RENT,4.0,10000,15.96,0,0.04,1,3,0.0222
26,277104,RENT,0.0,20000,11.48,0,0.07,0,3,inf
23,277000,OWN,3.0,35000,,0,0.13,0,4,0.076
25,128000,RENT,9.0,30000,7.29,0,0.23,0,4,0.1018
24,12000,OWN,2.0,1750,,0,0.15,1,3,0.1106
21,131000,RENT,0.0,30000,5.99,0,0.23,0,4,inf
22,275000,OWN,6.0,12000,11.58,0,0.04,0,2,0.0187
26,263000,MORTGAGE,0.0,10000,,1,0.04,0,4,inf
25,221850,MORTGAGE,9.0,25000,15.7,1,0.1,0,2,0.0445
22,70000,RENT,6.0,29100,15.99,1,0.42,0,3,0.2136
22,12000,MORTGAGE,7.0,1500,14.84,0,0.13,1,3,0.0546
26,260000,OWN,10.0,28000,10.99,0,0.11,0,3,0.0374
25,259000,MORTGAGE,9.0,20000,14.42,0,0.08,1,2,0.0305
24,255000,MORTGAGE,9.0,9600,6.99,0,0.04,0,2,0.0149
25,250000,RENT,2.0,25000,13.49,0,0.1,0,4,0.091
25,12000,OWN,0.0,3000,,1,0.25,0,3,inf
22,56950,RENT,6.0,28000,,1,0.49,0,2,0.2527
21,12000,OWN,6.0,3000,13.61,1,0.25,1,3,0.1071
23,65000,RENT,2.0,28000,7.9,1,0.43,0,2,0.3921
26,85000,RENT,2.0,28000,7.49,1,0.33,0,3,0.2998
26,12000,OWN,2.0,6100,7.51,1,0.51,0,3,0.3856
22,88000,RENT,6.0,28000,9.91,1,0.32,0,3,0.1635
21,12000,OWN,0.0,4200,13.48,1,0.35,1,4,inf
22,12000,OWN,6.0,4750,7.14,1,0.4,0,2,0.1695
24,83004,RENT,0.0,28000,15.99,1,0.34,1,4,inf
24,250000,RENT,2.0,18000,12.98,0,0.07,1,3,0.0655
25,100000,RENT,5.0,28000,12.69,0,0.28,0,3,0.1563
26,110000,RENT,10.0,28000,8.9,0,0.25,0,2,0.1062
26,12000,OWN,0.0,2700,,1,0.23,0,4,inf
22,108000,RENT,6.0,28000,,1,0.26,0,4,0.1332
23,151200,RENT,7.0,28000,11.11,0,0.19,0,2,0.0891
24,69000,RENT,2.0,27600,,1,0.4,0,2,0.3641
21,12000,MORTGAGE,5.0,3250,15.68,1,0.27,1,3,0.1374
22,70000,RENT,4.0,27500,13.06,1,0.39,1,3,0.2441
22,240000,OWN,6.0,25000,,0,0.1,0,2,0.0446
26,73200,RENT,5.0,27050,15.62,1,0.37,1,2,0.2062
24,83000,RENT,5.0,27000,13.49,1,0.33,1,2,0.1816
24,73399,RENT,0.0,27000,,1,0.37,0,3,inf
23,62500,RENT,7.0,26000,11.71,1,0.42,0,2,0.2001
23,120000,RENT,1.0,25600,12.69,0,0.21,0,3,0.3078
24,12360,OWN,2.0,1600,13.57,0,0.13,0,3,0.0982
22,60000,RENT,0.0,25475,10.99,1,0.42,0,3,inf
25,234000,MORTGAGE,3.0,20000,14.27,0,0.09,1,4,0.056
24,234000,OWN,8.0,20000,8.88,0,0.09,0,4,0.0324
26,234000,MORTGAGE,10.0,21600,12.18,0,0.09,0,3,0.035
25,221004,MORTGAGE,6.0,11900,14.42,1,0.05,1,3,0.0252
26,232500,MORTGAGE,0.0,25000,14.17,0,0.11,1,2,inf
25,230000,MORTGAGE,5.0,35000,13.99,0,0.15,0,4,0.0772
23,83000,RENT,7.0,25300,10.99,1,0.3,0,3,0.1466
25,12600,OWN,3.0,1750,13.61,0,0.14,0,3,0.0835
21,42500,RENT,3.0,25000,12.73,1,0.59,1,3,0.4243
24,41000,RENT,2.0,25000,,1,0.61,0,3,0.555
25,12816,OWN,0.0,3000,12.87,1,0.23,1,4,inf
24,12960,MORTGAGE,1.0,3650,9.91,1,0.28,0,3,0.3694
26,226000,MORTGAGE,4.0,20000,11.49,0,0.09,0,4,0.05
25,225000,MORTGAGE,0.0,30000,19.91,0,0.13,1,2,inf
26,213000,MORTGAGE,6.0,35000,10.65,1,0.16,0,2,0.0768
24,225000,RENT,0.0,6000,,0,0.03,0,4,inf
24,12960,MORTGAGE,0.0,4500,11.83,1,0.35,0,4,inf
23,12996,OWN,0.0,2400,13.49,1,0.18,1,2,inf
22,42000,RENT,6.0,25000,14.59,1,0.6,1,2,0.3059
26,48000,RENT,2.0,25000,9.64,1,0.52,0,4,0.4741
25,12996,OWN,1.0,3600,14.59,1,0.28,0,3,0.333
22,12996,OWN,1.0,4750,,1,0.37,0,3,0.4394
25,42360,RENT,1.0,25000,16.35,1,0.59,1,3,0.8514
21,49000,RENT,4.0,25000,10.99,1,0.51,0,2,0.317
25,225000,MORTGAGE,0.0,25000,18.67,0,0.11,0,2,inf
26,225000,RENT,1.0,3000,9.32,0,0.01,0,4,0.0192
23,225000,RENT,8.0,7500,8.63,0,0.03,0,2,0.0152
26,225000,MORTGAGE,2.0,25000,10.08,0,0.11,0,2,0.0919
22,49464,RENT,5.0,25000,11.83,1,0.51,0,3,0.2821
23,50000,RENT,1.0,25000,7.9,1,0.5,0,3,0.7213
25,50000,RENT,4.0,25000,5.99,1,0.5,0,2,0.3107
24,44000,RENT,2.0,25000,15.33,1,0.57,0,2,0.5172
23,50000,RENT,1.0,25000,11.83,1,0.5,0,4,0.7213
22,50004,RENT,0.0,25000,10.36,1,0.5,0,2,inf
22,50004,RENT,3.0,25000,12.23,1,0.5,0,3,0.3606
22,52000,RENT,2.0,25000,11.11,1,0.48,0,4,0.4376
23,13200,OWN,3.0,4950,7.9,1,0.38,0,4,0.2254
24,220000,MORTGAGE,1.0,25000,11.58,0,0.11,0,2,0.149
23,216000,MORTGAGE,5.0,21000,8.9,0,0.1,0,3,0.0493
25,216000,MORTGAGE,2.0,25000,16.07,0,0.12,0,3,0.0958
26,216000,MORTGAGE,10.0,20000,14.22,0,0.09,1,2,0.0351
23,215000,MORTGAGE,7.0,35000,14.79,0,0.16,1,3,0.0712
26,215000,MORTGAGE,11.0,12000,7.88,0,0.06,0,2,0.0204
23,52000,RENT,1.0,25000,13.22,1,0.48,0,2,0.6936
26,46000,RENT,2.0,25000,11.86,1,0.54,0,4,0.4947
22,53000,RENT,5.0,25000,13.43,1,0.47,1,4,0.2633
26,47000,RENT,0.0,25000,15.28,1,0.53,1,2,inf
23,47000,RENT,1.0,25000,17.93,1,0.53,0,2,0.7674
23,13200,MORTGAGE,2.0,1400,9.25,0,0.11,0,4,0.0878
21,13200,OWN,0.0,4500,12.98,1,0.34,0,4,inf
22,210000,MORTGAGE,6.0,16000,10.62,0,0.08,0,4,0.0356
26,210000,OWN,10.0,22000,11.83,0,0.1,0,4,0.0364
26,48000,RENT,5.0,25000,18.43,1,0.52,0,2,0.2907
22,54996,RENT,6.0,25000,,1,0.45,0,4,0.2336
24,55000,RENT,4.0,25000,,1,0.45,1,4,0.2824
23,55000,RENT,4.0,25000,11.36,1,0.45,0,3,0.2824
23,55000,RENT,4.0,25000,15.65,1,0.45,1,3,0.2824
24,55164,RENT,8.0,25000,13.22,1,0.45,1,4,0.2063
26,56000,RENT,4.0,25000,12.87,1,0.45,0,2,0.2774
24,203500,OWN,8.0,20000,13.04,0,0.1,0,3,0.0373
23,190000,MORTGAGE,5.0,22000,17.58,1,0.12,1,3,0.0587
23,13920,OWN,2.0,7750,17.04,1,0.56,0,4,0.4223
24,60000,RENT,0.0,25000,10.99,1,0.42,0,3,inf
24,60000,RENT,2.0,25000,11.11,1,0.42,0,3,0.3793
26,54000,RENT,7.0,25000,14.83,1,0.46,1,2,0.2226
23,14000,OWN,2.0,4000,,1,0.29,0,3,0.2167
24,200000,RENT,8.0,12000,12.69,0,0.06,0,2,0.0273
24,200000,MORTGAGE,8.0,12000,13.49,0,0.06,0,2,0.0248
21,200000,MORTGAGE,5.0,16000,14.65,0,0.08,0,4,0.0406
25,54000,RENT,3.0,25000,16.82,1,0.46,0,4,0.334
23,60000,RENT,3.0,25000,12.73,1,0.42,0,3,0.3006
23,60000,RENT,7.0,25000,10.25,1,0.42,0,4,0.2004
21,60000,RENT,6.0,25000,10.99,1,0.42,0,4,0.2141
25,61959,RENT,9.0,25000,12.73,1,0.4,0,2,0.1752
22,56400,RENT,2.0,25000,14.96,1,0.44,1,3,0.4035
23,200000,MORTGAGE,7.0,28000,,0,0.14,0,2,0.0612
21,200000,MORTGAGE,2.0,25000,13.99,0,0.13,0,2,0.1034
24,200000,MORTGAGE,3.0,24000,7.49,0,0.12,0,4,0.0787
26,200000,MORTGAGE,4.0,15000,14.79,0,0.07,0,3,0.0424
25,200000,MORTGAGE,2.0,15500,11.99,0,0.08,0,2,0.0641
24,200000,RENT,8.0,10000,8.49,0,0.05,0,4,0.0228
24,66000,RENT,3.0,25000,9.91,1,0.38,0,2,0.2732
22,66000,RENT,6.0,25000,13.06,1,0.38,1,3,0.1947
22,200000,MORTGAGE,6.0,9000,6.17,0,0.04,0,4,0.021
25,200000,RENT,5.0,18000,16.32,0,0.09,0,3,0.0502
25,200000,MORTGAGE,2.0,12000,10.38,0,0.06,0,2,0.0496
25,200000,MORTGAGE,9.0,23050,14.35,0,0.12,0,3,0.0455
24,200000,MORTGAGE,8.0,20000,,0,0.1,0,3,0.0414
24,60000,RENT,2.0,25000,,1,0.42,1,2,0.3793
21,14400,OWN,0.0,3000,,1,0.21,0,4,inf
26,66996,RENT,10.0,25000,15.21,1,0.37,1,2,0.1556
23,67000,RENT,3.0,25000,7.9,1,0.37,0,4,0.2692
24,67000,RENT,2.0,25000,10.99,1,0.37,0,3,0.3396
24,68000,RENT,5.0,25000,14.09,1,0.37,1,3,0.2052
25,69000,RENT,9.0,25000,17.49,1,0.36,0,2,0.1574
25,200000,MORTGAGE,0.0,12000,11.48,0,0.06,0,3,inf
26,188000,MORTGAGE,10.0,20000,17.74,1,0.11,0,2,0.0403
26,200000,MORTGAGE,4.0,3000,13.92,0,0.01,0,3,0.0085
25,69996,RENT,9.0,25000,15.21,1,0.36,0,3,0.1551
22,14400,OWN,2.0,4000,10.99,1,0.28,0,3,0.2107
24,70000,RENT,3.0,25000,11.86,1,0.36,0,4,0.2576
24,14400,OWN,5.0,6000,7.49,1,0.42,0,3,0.1938
24,56100,RENT,7.0,25000,16.49,1,0.38,0,4,0.2143
25,66000,RENT,9.0,25000,15.33,1,0.38,1,2,0.1645
26,66000,RENT,3.0,25000,11.58,1,0.38,0,4,0.2732
25,14400,OWN,7.0,5375,5.79,1,0.37,0,2,0.1496
25,72612,RENT,9.0,25000,13.11,1,0.34,0,2,0.1495
23,74000,RENT,3.0,25000,10.36,1,0.34,0,3,0.2437
25,75000,RENT,9.0,25000,10.36,1,0.33,0,2,0.1448
24,192000,RENT,0.0,22000,,0,0.11,1,2,inf
25,191000,MORTGAGE,1.0,10000,12.53,0,0.05,0,4,0.0687
26,190300,MORTGAGE,5.0,15000,,0,0.08,0,3,0.04
22,190000,MORTGAGE,3.0,10000,,0,0.05,0,3,0.0345
24,75000,RENT,4.0,25000,10.25,1,0.33,0,4,0.2071
22,71000,RENT,1.0,25000,15.95,1,0.35,1,4,0.508
26,190000,MORTGAGE,3.0,20000,12.18,0,0.11,0,4,0.069
23,189996,OWN,0.0,24000,11.83,0,0.13,0,3,inf
23,78000,RENT,7.0,25000,,1,0.32,1,2,0.1541
23,78000,RENT,1.0,25000,10.62,1,0.32,0,3,0.4624
23,78504,RENT,7.0,25000,10.74,1,0.32,0,3,0.1531
25,186000,OWN,9.0,10000,10.25,0,0.05,0,4,0.0195
25,185000,RENT,6.0,15000,15.27,0,0.08,0,2,0.0417
24,62050,RENT,8.0,25000,15.33,1,0.34,1,2,0.1834
23,79416,RENT,7.0,25000,15.21,1,0.31,1,2,0.1514
21,14400,OWN,4.0,6250,14.72,1,0.43,0,2,0.2247
24,79631,RENT,8.0,25000,15.7,1,0.31,1,2,0.1429
24,79632,RENT,0.0,25000,13.35,1,0.31,0,4,inf
21,14400,MORTGAGE,0.0,1500,,0,0.1,0,4,inf
24,80000,RENT,6.0,25000,6.62,1,0.31,0,2,0.1606
26,80000,RENT,5.0,25000,13.61,1,0.31,0,4,0.1744
22,185000,RENT,4.0,25000,11.36,0,0.14,0,2,0.084
26,185000,OWN,10.0,5000,7.68,0,0.03,0,2,0.0094
24,184992,RENT,7.0,22000,14.46,0,0.12,1,4,0.0572
23,184000,OWN,5.0,2500,11.83,0,0.01,0,2,0.0063
24,172000,MORTGAGE,6.0,20000,13.47,1,0.12,1,4,0.0543
24,183000,MORTGAGE,2.0,20000,11.49,0,0.11,0,3,0.0904
22,183000,MORTGAGE,3.0,1000,,0,0.01,0,2,0.0036
25,182952,MORTGAGE,9.0,15000,6.03,0,0.08,0,3,0.0324
23,74004,RENT,7.0,25000,16.35,1,0.34,0,4,0.1625
